Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings
2010-04-15,Tijuana,Phoenix,Tijuana,9,5
2010-04-15,San Antonio,Merida,Merida,3,8
2010-04-15,Denver,Calgary,Denver,10,6
2010-04-15,Monterrey,Dallas,Dallas,2,4
2010-04-15,Seattle,Vancouver,Seattle,9,2
2010-04-15,Nashville,Birmingham,Nashville,3,2
2010-04-15,Oakland,Los Angeles,Los Angeles,0,2
2010-04-16,Tijuana,Phoenix,Tijuana,9,3
2010-04-16,Charlotte,Atlanta,Charlotte,7,2
2010-04-16,San Antonio,Merida,San Antonio,6,4
2010-04-16,Denver,Calgary,Calgary,6,10
2010-04-16,Monterrey,Dallas,Monterrey,6,5
2010-04-16,Seattle,Vancouver,Vancouver,1,4
2010-04-16,Nashville,Birmingham,Birmingham,3,5
2010-04-16,Oakland,Los Angeles,Oakland,3,2
2010-04-17,Tijuana,Phoenix,Phoenix,4,6
2010-04-17,Charlotte,Atlanta,Atlanta,4,11
2010-04-17,Birmingham,Nashville,Nashville,3,4
2010-04-17,Calgary,Vancouver,Calgary,1,0
2010-04-17,Los Angeles,Oakland,Los Angeles,3,2
2010-04-17,Denver,Seattle,Denver,7,5
2010-04-17,Monterrey,Dallas,Dallas,2,12
2010-04-18,Phoenix,Tijuana,Phoenix,8,1
2010-04-18,Monterrey,Merida,Merida,0,4
2010-04-18,Dallas,San Antonio,Dallas,16,5
2010-04-18,Birmingham,Nashville,Birmingham,8,3
2010-04-18,Calgary,Vancouver,Calgary,7,2
2010-04-18,Los Angeles,Oakland,Los Angeles,6,5
2010-04-18,Denver,Seattle,Denver,4,3
2010-04-19,Phoenix,Tijuana,Tijuana,3,5
2010-04-19,Monterrey,Merida,Merida,2,3
2010-04-19,Dallas,San Antonio,San Antonio,4,6
2010-04-19,Atlanta,Charlotte,Atlanta,11,7
2010-04-19,Birmingham,Nashville,Birmingham,4,1
2010-04-19,Calgary,Vancouver,Calgary,4,3
2010-04-19,Los Angeles,Oakland,Oakland,1,7
2010-04-19,Denver,Seattle,Denver,10,7
2010-04-20,Phoenix,Tijuana,Tijuana,2,4
2010-04-20,Monterrey,Merida,Monterrey,2,1
2010-04-20,Dallas,San Antonio,San Antonio,7,9
2010-04-20,Atlanta,Charlotte,Atlanta,5,4
2010-04-20,Denver,Seattle,Denver,5,4
2010-04-21,San Antonio,Seattle,Seattle,3,4
2010-04-21,Denver,Merida,Merida,3,4
2010-04-21,Oakland,Atlanta,Oakland,6,5
2010-04-21,Nashville,Phoenix,Phoenix,5,10
2010-04-21,Calgary,Dallas,Dallas,2,4
2010-04-21,Monterrey,Vancouver,Monterrey,11,3
2010-04-21,Los Angeles,Birmingham,Los Angeles,17,4
2010-04-22,Charlotte,Tijuana,Charlotte,2,0
2010-04-22,San Antonio,Seattle,Seattle,5,13
2010-04-22,Denver,Merida,Merida,3,6
2010-04-22,Oakland,Atlanta,Atlanta,0,4
2010-04-22,Nashville,Phoenix,Nashville,4,0
2010-04-22,Calgary,Dallas,Calgary,1,0
2010-04-22,Monterrey,Vancouver,Vancouver,3,7
2010-04-22,Los Angeles,Birmingham,Los Angeles,12,1
2010-04-23,Charlotte,Tijuana,Tijuana,3,5
2010-04-23,San Antonio,Seattle,San Antonio,1,0
2010-04-23,Denver,Merida,Merida,2,5
2010-04-23,Oakland,Atlanta,Atlanta,0,5
2010-04-23,Nashville,Phoenix,Phoenix,2,3
2010-04-23,Calgary,Dallas,Calgary,7,1
2010-04-23,Monterrey,Vancouver,Monterrey,12,1
2010-04-23,Los Angeles,Birmingham,Birmingham,5,15
2010-04-24,Merida,Calgary,Calgary,5,9
2010-04-24,Dallas,Seattle,Dallas,3,1
2010-04-24,Atlanta,Oakland,Oakland,5,6
2010-04-24,Charlotte,Los Angeles,Charlotte,17,13
2010-04-24,Tijuana,Nashville,Tijuana,7,1
2010-04-25,Monterrey,Denver,Monterrey,11,2
2010-04-25,Birmingham,Phoenix,Birmingham,7,4
2010-04-25,Vancouver,San Antonio,Vancouver,4,0
2010-04-25,Merida,Calgary,Merida,14,1
2010-04-25,Dallas,Seattle,Dallas,3,1
2010-04-25,Atlanta,Oakland,Oakland,1,14
2010-04-25,Charlotte,Los Angeles,Charlotte,3,0
2010-04-25,Tijuana,Nashville,Nashville,1,5
2010-04-26,Monterrey,Denver,Denver,2,6
2010-04-26,Birmingham,Phoenix,Birmingham,6,2
2010-04-26,Vancouver,San Antonio,Vancouver,7,2
2010-04-26,Merida,Calgary,Merida,5,4
2010-04-26,Dallas,Seattle,Seattle,1,2
2010-04-26,Atlanta,Oakland,Oakland,2,7
2010-04-26,Charlotte,Los Angeles,Charlotte,4,0
2010-04-26,Tijuana,Nashville,Tijuana,4,0
2010-04-27,Monterrey,Denver,Monterrey,8,5
2010-04-27,Birmingham,Phoenix,Birmingham,3,2
2010-04-27,Vancouver,San Antonio,San Antonio,5,6
2010-04-27,Los Angeles,Atlanta,Los Angeles,6,5
2010-04-27,Dallas,Calgary,Dallas,6,5
2010-04-28,Phoenix,Nashville,Phoenix,15,9
2010-04-28,Birmingham,Tijuana,Birmingham,11,2
2010-04-28,Oakland,Charlotte,Oakland,13,5
2010-04-28,Denver,Monterrey,Monterrey,2,5
2010-04-28,Seattle,San Antonio,Seattle,6,5
2010-04-28,Los Angeles,Atlanta,Atlanta,2,3
2010-04-28,Dallas,Calgary,Calgary,3,10
2010-04-29,Merida,Vancouver,Merida,12,4
2010-04-29,Phoenix,Nashville,Phoenix,3,2
2010-04-29,Birmingham,Tijuana,Birmingham,12,9
2010-04-29,Oakland,Charlotte,Oakland,4,1
2010-04-29,Denver,Monterrey,Denver,7,4
2010-04-29,Seattle,San Antonio,San Antonio,3,10
2010-04-29,Los Angeles,Atlanta,Atlanta,0,3
2010-04-29,Dallas,Calgary,Dallas,4,3
2010-04-30,Merida,Vancouver,Merida,5,3
2010-04-30,Phoenix,Nashville,Phoenix,6,4
2010-04-30,Birmingham,Tijuana,Tijuana,4,5
2010-04-30,Oakland,Charlotte,Oakland,5,1
2010-04-30,Denver,Monterrey,Monterrey,2,3
2010-04-30,Seattle,San Antonio,San Antonio,2,5
2010-05-01,Monterrey,Calgary,Monterrey,8,6
2010-05-01,Birmingham,Los Angeles,Los Angeles,4,5
2010-05-01,San Antonio,Denver,San Antonio,3,1
2010-05-01,Merida,Seattle,Merida,6,5
2010-05-01,Phoenix,Atlanta,Phoenix,7,3
2010-05-01,Vancouver,Dallas,Vancouver,2,0
2010-05-01,Charlotte,Oakland,Oakland,1,3
2010-05-02,Monterrey,Calgary,Calgary,2,9
2010-05-02,Birmingham,Los Angeles,Birmingham,6,3
2010-05-02,Nashville,Tijuana,Nashville,3,2
2010-05-02,San Antonio,Denver,Denver,4,6
2010-05-02,Merida,Seattle,Seattle,2,7
2010-05-02,Phoenix,Atlanta,Phoenix,8,6
2010-05-02,Vancouver,Dallas,Vancouver,6,4
2010-05-02,Charlotte,Oakland,Oakland,3,6
2010-05-03,Monterrey,Calgary,Monterrey,5,3
2010-05-03,Birmingham,Los Angeles,Birmingham,7,0
2010-05-03,Nashville,Tijuana,Tijuana,3,8
2010-05-03,San Antonio,Denver,San Antonio,4,1
2010-05-03,Merida,Seattle,Seattle,1,15
2010-05-03,Phoenix,Atlanta,Phoenix,2,1
2010-05-03,Vancouver,Dallas,Dallas,1,4
2010-05-03,Charlotte,Oakland,Oakland,2,3
2010-04-06,Tijuana,Oakland,Tie in regulation,3,3,Tijuana,6,5,3
2010-04-09,Merida,Monterrey,Tie in regulation,9,9,Merida,11,10,18
2010-04-09,San Antonio,Dallas,Tie in regulation,2,2,Dallas,2,3,10
2010-04-10,Merida,Monterrey,Tie in regulation,5,5,Monterrey,5,6,12
2010-04-15,Charlotte,Atlanta,Tie in regulation,2,2,Charlotte,4,3,18
2010-04-17,San Antonio,Merida,Tie in regulation,8,8,San Antonio,10,9,9
2010-04-18,Atlanta,Charlotte,Tie in regulation,2,2,Atlanta,3,2,3
2010-04-21,Charlotte,Tijuana,Tie in regulation,5,5,Charlotte,6,5,4
2010-04-28,Merida,Vancouver,Tie in regulation,3,3,Vancouver,3,4,9
2010-05-01,Nashville,Tijuana,Tie in regulation,7,7,Nashville,10,9,15
2010-05-04,,,
2010-05-05,,,
2010-05-06,,,
2010-05-07,Monterrey,Atlanta,Monterrey,6,4
2010-05-07,Vancouver,Phoenix,Phoenix,1,2
2010-05-07,San Antonio,Charlotte,San Antonio,9,2
2010-05-07,Nashville,Dallas,Nashville,2,1
2010-05-08,Calgary,Tijuana,Tijuana,0,6
2010-05-08,Birmingham,Merida,Birmingham,1,0
2010-05-08,Monterrey,Atlanta,Monterrey,4,3
2010-05-08,Vancouver,Phoenix,Vancouver,2,1
2010-05-08,San Antonio,Charlotte,San Antonio,5,3
2010-05-08,Seattle,Oakland,Oakland,3,6
