Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-04-14,Denver,Calgary,Calgary,6,7,,,,,1
2010-04-14,Birmingham,Atlanta,Birmingham,3,2,,,,,1
2010-04-14,San Antonio,Monterrey,Monterrey,1,6,,,,,1
2010-04-14,Merida,Dallas,Merida,3,2,,,,,1
2010-04-14,Charlotte,Nashville,Charlotte,5,4,,,,,1
2010-04-15,Vancouver,Seattle,Vancouver,1,0,,,,,1
2010-04-15,Charlotte,Nashville,Charlotte,3,2,,,,,1
2010-04-15,Phoenix,Oakland,Phoenix,6,3,,,,,1
2010-04-15,Tijuana,Los Angeles,Los Angeles,2,5,,,,,1
2010-04-15,Denver,Calgary,Denver,3,2,,,,,1
2010-04-15,San Antonio,Monterrey,Monterrey,7,10,,,,,1
2010-04-15,Merida,Dallas,Merida,6,1,,,,,1
2010-04-16,Charlotte,Nashville,Nashville,2,8,,,,,1
2010-04-16,Phoenix,Oakland,Phoenix,2,1,,,,,1
2010-04-16,Tijuana,Los Angeles,Los Angeles,1,4,,,,,1
2010-04-16,Denver,Calgary,Denver,8,6,,,,,1
2010-04-16,Birmingham,Atlanta,Atlanta,1,3,,,,,1
2010-04-16,San Antonio,Monterrey,San Antonio,4,3,,,,,1
2010-04-16,Merida,Dallas,Merida,3,2,,,,,1
2010-04-17,Vancouver,Seattle,Vancouver,5,4,,,,,1
2010-04-17,Charlotte,Nashville,Nashville,1,2,,,,,1
2010-04-17,Dallas,Merida,Merida,4,12,,,,,1
2010-04-17,San Antonio,Monterrey,San Antonio,7,5,,,,,1
2010-04-18,Phoenix,Tijuana,Phoenix,4,3,,,,,1
2010-04-18,Seattle,Denver,Seattle,3,1,,,,,1
2010-04-18,Nashville,Atlanta,Nashville,3,2,,,,,1
2010-04-18,Los Angeles,Oakland,Oakland,1,5,,,,,1
2010-04-18,Monterrey,San Antonio,San Antonio,2,6,,,,,1
2010-04-18,Birmingham,Charlotte,Charlotte,1,4,,,,,1
2010-04-18,Dallas,Merida,Merida,3,6,,,,,1
2010-04-19,Seattle,Denver,Seattle,6,4,,,,,1
2010-04-19,Calgary,Vancouver,Vancouver,2,4,,,,,1
2010-04-19,Nashville,Atlanta,Atlanta,1,3,,,,,1
2010-04-19,Los Angeles,Oakland,Oakland,4,6,,,,,1
2010-04-19,Monterrey,San Antonio,Monterrey,9,4,,,,,1
2010-04-19,Birmingham,Charlotte,Charlotte,3,9,,,,,1
2010-04-19,Dallas,Merida,Dallas,4,3,,,,,1
2010-04-20,Phoenix,Tijuana,Tijuana,2,6,,,,,1
2010-04-20,Seattle,Denver,Seattle,4,3,,,,,1
2010-04-20,Calgary,Vancouver,Calgary,7,3,,,,,1
2010-04-20,Nashville,Atlanta,Nashville,6,5,,,,,1
2010-04-20,Los Angeles,Oakland,Oakland,4,5,,,,,1
2010-04-20,Monterrey,San Antonio,Monterrey,5,2,,,,,1
2010-04-20,Birmingham,Charlotte,Birmingham,7,3,,,,,1
2010-04-21,Birmingham,Phoenix,Birmingham,2,0,,,,,1
2010-04-21,Monterrey,Vancouver,Monterrey,2,1,,,,,1
2010-04-21,Calgary,San Antonio,Calgary,9,5,,,,,1
2010-04-21,Oakland,Charlotte,Charlotte,6,7,,,,,1
2010-04-21,Nashville,Los Angeles,Los Angeles,0,2,,,,,1
2010-04-21,Denver,Merida,Merida,5,8,,,,,1
2010-04-21,Atlanta,Tijuana,Atlanta,9,7,,,,,1
2010-04-21,Seattle,Dallas,Dallas,0,15,,,,,1
2010-04-22,Birmingham,Phoenix,Phoenix,2,3,,,,,1
2010-04-22,Monterrey,Vancouver,Vancouver,2,8,,,,,1
2010-04-22,Calgary,San Antonio,Calgary,13,5,,,,,1
2010-04-22,Oakland,Charlotte,Charlotte,3,7,,,,,1
2010-04-22,Nashville,Los Angeles,Nashville,5,2,,,,,1
2010-04-22,Denver,Merida,Denver,3,2,,,,,1
2010-04-22,Atlanta,Tijuana,Atlanta,1,0,,,,,1
2010-04-22,Seattle,Dallas,Seattle,6,2,,,,,1
2010-04-23,Calgary,San Antonio,San Antonio,1,9,,,,,1
2010-04-23,Oakland,Charlotte,Charlotte,1,5,,,,,1
2010-04-23,Denver,Merida,Denver,11,10,,,,,1
2010-04-23,Atlanta,Tijuana,Atlanta,10,6,,,,,1
2010-04-23,Seattle,Dallas,Dallas,3,6,,,,,1
2010-04-24,Denver,Monterrey,Denver,5,1,,,,,1
2010-04-24,Oakland,Nashville,Oakland,7,5,,,,,1
2010-04-24,Los Angeles,Atlanta,Los Angeles,4,2,,,,,1
2010-04-24,Vancouver,Dallas,Vancouver,3,1,,,,,1
2010-04-24,Merida,Calgary,Merida,6,2,,,,,1
2010-04-25,Phoenix,Birmingham,Phoenix,7,3,,,,,1
2010-04-25,Seattle,San Antonio,San Antonio,1,6,,,,,1
2010-04-25,Tijuana,Charlotte,Tijuana,2,1,,,,,1
2010-04-25,Denver,Monterrey,Denver,1,0,,,,,1
2010-04-25,Oakland,Nashville,Oakland,13,0,,,,,1
2010-04-25,Los Angeles,Atlanta,Los Angeles,3,2,,,,,1
2010-04-25,Vancouver,Dallas,Dallas,7,9,,,,,1
2010-04-25,Merida,Calgary,Calgary,5,6,,,,,1
2010-04-26,Phoenix,Birmingham,Birmingham,0,2,,,,,1
2010-04-26,Seattle,San Antonio,Seattle,6,1,,,,,1
