Timing,Season Part,Conference,Division,Group,Rank,Team,Wins,Losses,Ties to Finish,Winning Percent,Team Strength
post Wind-up,Part 1,Visionaries,West Division,Pass Group,4,Seattle,13,18,0,0.419,0.367
pre Wind-up,Part 1,Visionaries,West Division,Rush Group,1,Oakland,21,8,1,0.724,0.537
pre Wind-up,Part 1,Visionaries,West Division,Rush Group,2,Tijuana,17,10,3,0.63,0.475
pre Wind-up,Part 1,Visionaries,West Division,Rush Group,3,Los Angeles,13,17,0,0.433,0.497
pre Wind-up,Part 1,Visionaries,West Division,Rush Group,4,Phoenix,11,19,0,0.367,0.281
post Wind-up,Part 1,Visionaries,West Division,Rush Group,1,Oakland,21,9,0,0.7,0.537
post Wind-up,Part 1,Visionaries,West Division,Rush Group,2,Tijuana,18,12,0,0.6,0.475
post Wind-up,Part 1,Visionaries,West Division,Rush Group,3,Los Angeles,13,17,0,0.433,0.497
post Wind-up,Part 1,Visionaries,West Division,Rush Group,4,Phoenix,11,19,0,0.367,0.281
pre Wind-up,Part 2,Founders,East Division,Port Group,1,New Haven,40,33,4,0.548,0.574
pre Wind-up,Part 2,Founders,East Division,Port Group,2,Boston,42,36,1,0.538,0.51
pre Wind-up,Part 2,Founders,East Division,Port Group,3,Montreal,28,46,3,0.378,0.377
pre Wind-up,Part 2,Founders,East Division,Port Group,4,New York,25,53,1,0.321,0.383
post Wind-up,Part 2,Founders,East Division,Port Group,1,Boston,43,36,0,0.544,0.51
post Wind-up,Part 2,Founders,East Division,Port Group,2,New Haven,41,36,0,0.532,0.574
post Wind-up,Part 2,Founders,East Division,Port Group,3,Montreal,29,48,0,0.377,0.377
post Wind-up,Part 2,Founders,East Division,Port Group,4,New York,26,53,0,0.329,0.383
pre Wind-up,Part 2,Founders,East Division,Canal Group,1,Philadelphia,47,31,2,0.603,0.512
pre Wind-up,Part 2,Founders,East Division,Canal Group,2,Toronto,42,34,3,0.553,0.549
pre Wind-up,Part 2,Founders,East Division,Canal Group,3,"Washington, D.C.",41,35,3,0.539,0.549
pre Wind-up,Part 2,Founders,East Division,Canal Group,4,Pittsburgh,40,39,1,0.506,0.475
post Wind-up,Part 2,Founders,East Division,Canal Group,1,Philadelphia,48,32,0,0.6,0.512
post Wind-up,Part 2,Founders,East Division,Canal Group,2,Toronto,44,35,0,0.557,0.549
post Wind-up,Part 2,Founders,East Division,Canal Group,3,"Washington, D.C.",43,36,0,0.544,0.549
post Wind-up,Part 2,Founders,East Division,Canal Group,4,Pittsburgh,40,40,0,0.5,0.475
pre Wind-up,Part 2,Founders,West Division,Aurora Group,1,Winnipeg,47,27,5,0.635,0.574
pre Wind-up,Part 2,Founders,West Division,Aurora Group,2,St. Louis,42,35,2,0.545,0.605
pre Wind-up,Part 2,Founders,West Division,Aurora Group,3,Chicago,38,34,7,0.528,0.586
pre Wind-up,Part 2,Founders,West Division,Aurora Group,4,St. Paul,32,42,5,0.432,0.438
post Wind-up,Part 2,Founders,West Division,Aurora Group,1,Winnipeg,49,30,0,0.62,0.574
post Wind-up,Part 2,Founders,West Division,Aurora Group,2,Chicago,42,37,0,0.532,0.586
post Wind-up,Part 2,Founders,West Division,Aurora Group,2,St. Louis,42,37,0,0.532,0.605
